raga_name,RAGATABLE,Aroha,Avroh
Bhairavi,Bhairavi,S-r-g-m-P-d-n-S,S-n-d-P-m-g-r-S
Bilaskhani Todi,Bilaskhani Todi,S-r-g-P-d-S,S-n-d-P-m-g-r-S
Asavari (komal re),Asavari,S-R-m-P-d-S,S-n-d-P-m-g-Rr-S
Prabhateshwari,Prabhateshwari,S-r-g-m-D-n-S,S-n-D-P-m-g-r-S
Parameshwari,Parameshwari,S-r-g-m-D-n-S,S-n-D-m-g-r-S
Multani,Multani,S-g-M-P-N-S,S-N-d-P-M-g-r-S
Todi,Todi,S-r-g-M-P-d-N-S,S-N-d-P-M-g-r-S
Bhupali Todi,Bhupali Todi,S-r-g-P-d-S,S-d-P-g-r-S
Salagavarali,Salagavarali,S-r-g-P-D-n-S,S-n-D-P-g-r-S
Bairagi Todi,Bairagi Todi,S-r-g-P-n-S,S-n-P-g-r-S
Ramkali,Ramkali,S-r-G-m-P-d-N-S,S-N-d-P-Mm-G-r-S
Poorvi,Poorvi,S-r-G-M-P-d-N-S,S-N-d-P-Mm-G-r-S
Bhatiyar,Bhatiyar,S-G-M-P-D-S,S-N-D-P-M-G-r-S
Shuddha Basant,Shuddha Basant,S-G-M-D-N-S,S-N-D-P-M-G-r-S
Lalit,Lalit,S-r-G-M-d-N-S,S-N-d-Mm-G-r-S
Basant Mukhari,Basant Mukhari,S-r-G-m-P-d-n-S,S-n-d-P-m-G-r-S
Bhairav,Bhairav,S-r-G-m-P-d-N-S,S-N-d-P-m-G-r-S
Gauri,Gauri,S-r-G-m-P-d-N-S,S-N-d-P-m-G-r-S
Ahir Bhairav,Ahir Bhairav,S-r-G-m-P-D-n-S,S-n-D-P-m-G-r-S
Basant,Basant,S-G-M-d-N-S,S-N-d-P-M-G-r-S
Puriya Dhanashree,Puriya Dhanashree,S-r-G-M-P-d-N-S,S-N-d-P-M-G-r-S
Puriya Kalyan,Puriya Kalyan,S-r-G-M-P-D-N-S,S-N-D-P-M-G-r-S
Marwa,Marwa,S-r-G-M-D-N-S,S-N-D-M-G-r-S
Puriya,Puriya,S-r-G-M-D-N-S,S-N-D-M-G-r-S
Sohini,Sohini,S-G-M-D-N-S,S-N-D-M-G-r-S
Bibhas,Bibhas,S-r-G-P-d-S,S-d-P-G-r-S
Sundarkali,Sundarkali,S-r-G-P-n-S,S-n-P-G-r-S
Jogiya,Jogiya,S-r-m-P-d-S,S-N-d-P-m-r-S
Gunakri,Gunakri,S-r-m-P-d-S,S-d-P-m-r-S
Gunkali,Gunkali,S-r-m-P-d-S,S-d-P-m-r-S
Bairagi,Bairagi,S-r-m-P-n-S,S-n-P-m-r-S
Pilu,Pilu,S-g-m-P-N-S,S-Nn-D-P-m-Gg-R-S
Chandranandan,Chandranandan,S-g-m-d-n-S,S-Nn-d-P-m-g-R-S
Dev Gandhar,Dev Gandhar,S-R-gG-m-P-d-n-S,S-n-d-P-m-Gg-R-S
Jaijaiwanti,Jaijaiwanti,S-R-gG-m-P-N-S,S-Nn-D-P-m-Gg-R-S
Ramdasi Malhar,Ramdasi Malhar,S-R-G-m-P-D-N-S,S-n-D-P-m-Gg-R-S
Tilang Bahar,Tilang Bahar,S-R-G-m-P-D-nN-S,S-n-P-m-g-R-S
Bheem,Bheem,S-G-m-P-n-S,S-n-D-P-m-G-R-S
Malgunji,Malgunji,S-R-G-m-D-n-S,S-n-D-P-m-Gg-R-S
Adana,Adana,S-R-m-P-d-n-S,S-n-d-P-m-g-R-S
Jaunpuri,Jaunpuri,S-R-m-P-d-n-S,S-n-d-P-m-g-R-S
Kaunsi Kanada,Kaunsi Kanada,S-g-m-d-n-S,S-n-d-P-m-g-R-S
Kirwani,Kirwani,S-R-g-m-P-d-N-S,S-N-d-P-m-g-R-S
Bahar,Bahar,S-R-g-m-P-D-N-S,S-n-P-m-g-R-S
Lanka Dahan Sarang,Lanka Dahan Sarang,S-R-m-P-N-S,S-n-D-P-m-g-R-S
Miyan ki Malhar,Miyan ki Malhar,S-R-m-P-D-nN-S,S-Nn-D-P-m-g-R-S
Sindhura,Sindhura,S-R-m-P-D-S,S-n-D-P-m-g-R-S
Bageshri,Bageshri,S-R-g-m-D-n-S,S-n-D-P-m-g-R-S
Bhimpalasi,Bhimpalasi,S-g-m-P-n-S,S-n-D-P-m-g-R-S
Desi,Desi,S-R-m-P-D-n-S,S-n-D-P-m-g-R-S
Kafi,Kafi,S-R-g-m-P-D-n-S,S-n-D-P-m-g-R-S
Shahana,Shahana,S-R-g-m-P-D-n-S,S-n-D-P-m-g-R-S
Patdeep,Patdeep,S-R-g-m-P-D-N-S,S-N-D-P-m-g-R-S
Nayaki Kanada,Nayaki Kanada,S-R-g-m-P-n-S,S-n-P-m-g-R-S
Abhogi,Abhogi,S-R-g-m-D-S,S-D-m-g-R-S
Madhuvanti,Madhuvanti,S-g-M-P-N-S,S-N-D-P-M-g-R-S
Shivranjani,Shivranjani,S-R-g-P-D-S,S-D-P-g-R-S
Saraswati Kedar,Saraswati Kedar,S-R-G-M-P-D-S,S-n-D-P-Mm-R-S
Bihag,Bihag,S-G-m-P-N-S,S-N-D-P-Mm-G-R-S
Gaud Sarang,Gaud Sarang,S-R-G-m-P-D-N-S,S-N-D-P-Mm-G-R-S
Hameer,Hameer,S-G-m-P-D-N-S,S-N-D-P-Mm-G-R-S
Kamod,Kamod,S-R-G-m-P-D-N-S,S-N-D-P-Mm-G-R-S
Maru Bihag,Maru Bihag,S-G-mM-P-N-S,S-N-D-P-M-G-R-S
Nand,Nand,S-R-G-m-P-D-N-S,S-N-D-P-Mm-G-R-S
Shyam Kalyan,Shyam Kalyan,S-R-M-P-N-S,S-N-D-P-Mm-G-R-S
Charukeshi,Charukeshi,S-R-G-m-P-d-n-S,S-n-d-P-m-G-R-S
Nat Bhairav,Nat Bhairav,S-R-G-m-d-N-S,S-N-d-P-m-G-R-S
Alhaiya Bilawal,Alhaiya Bilawal,S-R-G-P-D-N-S,S-n-D-P-m-G-R-S
Desh,Desh,S-R-m-P-D-n-S,S-Nn-D-P-m-G-R-S
Devgiri Bilawal,Devgiri Bilawal,S-R-G-P-D-N-S,S-Nn-D-P-m-G-R-S
Gaud Malhar,Gaud Malhar,S-R-G-m-P-D-N-S,S-N-D-P-m-G-R-S
Khamaj,Khamaj,S-G-m-P-D-N-S,S-n-D-P-m-G-R-S
Hem Bihag,Hem Bihag,S-R-G-m-P-N-S,S-N-D-P-m-G-R-S
Hemant,Hemant,S-G-m-D-N-S,S-N-D-P-m-G-R-S
Mand,Mand,S-R-G-m-P-D-N-S,S-N-D-P-m-Gg-R-S
Tilak Kamod,Tilak Kamod,S-R-G-m-P-D-N-S,S-N-D-P-m-G-R-S
Rageshri,Rageshri,S-G-m-D-n-S,S-n-D-m-G-R-S
Shuddha Kalyan,Shuddha Kalyan,S-R-G-P-D-S,S-N-D-P-M-G-R-S
Yaman,Yaman,S-R-G-M-P-D-N-S,S-N-D-P-M-G-R-S
Shankara,Shankara,S-G-P-D-N-S,S-N-D-P-G-R-S
Bhupali,Bhupali,S-R-G-P-D-S,S-D-P-G-R-S
Deshkar,Deshkar,S-R-G-P-D-S,S-D-P-G-R-S
Pahadi,Pahadi,S-R-G-P-D-S,S-D-P-G-R-S
Hansadhwani,Hansadhwani,S-R-G-P-N-S,S-N-P-G-R-S
Kedar,Kedar,S-M-P-D-N-S,S-N-D-P-Mm-R-S
Shuddha Sarang,Shuddha Sarang,S-R-M-P-N-S,S-N-D-P-Mm-R-S
Shobhawari,Shobhawari,S-R-m-P-d-S,S-d-P-m-R-S
Surdasi Malhar,Surdasi Malhar,S-R-m-P-N-S,S-n-D-P-m-R-S
Gorakh Kalyan,Gorakh Kalyan,S-R-m-D-n-S,S-n-D-P-m-R-S
Narayani,Narayani,S-R-m-P-D-S,S-n-D-P-m-R-S
Durga,Durga,S-R-m-P-D-S,S-D-P-m-R-S
Jaldhar Kedar,Jaldhar Kedar,S-R-m-P-D-S,S-D-P-m-R-S
Sarang,Sarang,S-R-m-P-N-S,S-n-P-m-R-S
Megh,Megh,S-R-m-P-n-S,S-n-P-m-R-S
Saraswati,Saraswati,S-R-M-P-D-S,S-n-D-P-M-R-S
Devshri,Devshri,S-R-M-P-n-S,S-n-P-M-R-S
Jogkauns,Jogkauns,S-G-m-d-N-S,S-N-d-P-m-Gg-S
Jogeshwari Pancham,Jogeshwari Pancham,S-G-m-P-D-n-S,S-n-D-P-m-Gg-S
Jog,Jog,S-G-m-P-n-S,S-n-P-m-Gg-S
Mohankauns,Mohankauns,S-G-m-d-n-S,S-n-d-m-G-R-S
Jogeshwari,Jogeshwari,S-G-m-D-n-S,S-n-D-m-Gg-S
Gopika Basant,Gopika Basant,S-g-m-P-d-n-S,S-n-d-P-m-g-S
Hemshri,Hemshri,S-g-m-P-N-S,S-n-P-m-g-S
Dhani,Dhani,S-g-m-P-n-S,S-n-P-m-g-S
Malkauns,Malkauns,S-g-m-d-n-S,S-n-d-m-g-S
Chandrakauns,Chandrakauns,S-g-m-d-N-S,S-N-d-m-g-S
Sundarkauns,Sundarkauns,S-g-m-D-n-S,S-n-D-m-g-S
Madhukauns,Madhukauns,S-g-M-P-n-S,S-n-P-M-g-S
Tilang,Tilang,S-G-m-P-N-S,S-n-P-m-G-S
Kaushik Dhwani,Kaushik Dhwani,S-G-m-D-N-S,S-N-D-m-G-S
Hindol,Hindol,S-G-M-D-N-S,S-N-D-M-G-S
Kalavati,Kalavati,S-G-P-D-n-S,S-n-D-P-G-S
